18743962 2008-05-30+07:09:38.0000000000 2013-04-01+18:38:45.9173890730 3473897 3396 joel:storageadmin -rwxrwxr-x vid02.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/06
18743963 2008-05-30+07:09:10.0000000000 2013-04-01+18:38:45.9173890730 3217885 3144 joel:storageadmin -rwxrwxr-x vid03.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/06
18743943 2009-05-30+06:14:44.0000000000 2013-04-01+18:38:45.9173890730 2173515 2124 joel:storageadmin -rwxrwxr-x 02.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/03
18743942 2009-05-30+06:14:44.0000000000 2013-04-01+18:38:45.9173890730 2053515 2008 joel:storageadmin -rwxrwxr-x 01.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/03
18743944 2009-05-30+06:14:44.0000000000 2013-04-01+18:38:45.9173890730 2133515 2084 joel:storageadmin -rwxrwxr-x 03.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/03
18743945 2009-05-30+06:14:44.0000000000 2013-04-01+18:38:45.9173890730 2205515 2156 joel:storageadmin -rwxrwxr-x 04.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/03
18744004 2007-02-27+04:03:06.0000000000 2013-04-01+18:38:45.9173890730 2129924 2084 joel:storageadmin -rwxrwxr-x 01.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/13
18744006 2007-02-27+04:03:54.0000000000 2013-04-01+18:38:45.9173890730 2148356 2100 joel:storageadmin -rwxrwxr-x 03.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/13
18744005 2007-02-27+04:03:30.0000000000 2013-04-01+18:38:45.9173890730 2105348 2060 joel:storageadmin -rwxrwxr-x 02.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/13
18744052 2009-08-03+22:13:48.0000000000 2013-04-01+18:38:45.9173890730 10157563 9920 joel:storageadmin -rwxrwxr-x 02.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/21
18744051 2009-08-03+22:13:48.0000000000 2013-04-01+18:38:45.9173890730 9075951 8864 joel:storageadmin -rwxrwxr-x 01.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/21
18744053 2009-08-03+22:13:52.0000000000 2013-04-01+18:38:45.9173890730 9757563 9532 joel:storageadmin -rwxrwxr-x 03.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/21
18744054 2009-08-03+22:13:54.0000000000 2013-04-01+18:38:45.9173890730 9082351 8872 joel:storageadmin -rwxrwxr-x 04.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/21
18744035 2005-10-21+13:22:40.0000000000 2013-04-01+18:38:45.9173890730 1841458 1800 joel:storageadmin -rwxrwxr-x screwmywifeplease28_x1.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/18
18744036 2005-10-21+13:22:44.0000000000 2013-04-01+18:38:45.9173890730 1824310 1784 joel:storageadmin -rwxrwxr-x screwmywifeplease28_x2.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/18
18744037 2005-10-21+13:22:50.0000000000 2013-04-01+18:38:45.9173890730 1844975 1804 joel:storageadmin -rwxrwxr-x screwmywifeplease28_x3.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/18
18744024 2009-08-25+03:46:58.0000000000 2013-04-01+18:38:45.9173890730 9677563 9452 joel:storageadmin -rwxrwxr-x 02.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/16
18744023 2009-08-25+03:46:56.0000000000 2013-04-01+18:38:45.9183890730 9450357 9232 joel:storageadmin -rwxrwxr-x 01.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/16
18744025 2009-08-25+03:46:58.0000000000 2013-04-01+18:38:45.9183890730 10064763 9832 joel:storageadmin -rwxrwxr-x 03.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/16
18744026 2009-08-25+03:46:58.0000000000 2013-04-01+18:38:45.9183890730 9488757 9268 joel:storageadmin -rwxrwxr-x 04.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/16
18743994 2008-05-09+05:28:14.0000000000 2013-04-01+18:38:45.9183890730 7436292 7264 joel:storageadmin -rwxrwxr-x 1.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/12
18743997 2008-05-09+05:28:12.0000000000 2013-04-01+18:38:45.9183890730 7436292 7264 joel:storageadmin -rwxrwxr-x 1_001.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/12
18743998 2008-05-09+05:28:16.0000000000 2013-04-01+18:38:45.9183890730 7436292 7264 joel:storageadmin -rwxrwxr-x 1_002.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/12
18743999 2008-05-09+05:28:16.0000000000 2013-04-01+18:38:45.9183890730 7436292 7264 joel:storageadmin -rwxrwxr-x 1_003.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/12
18744056 2006-02-14+11:42:00.0000000000 2013-04-01+18:38:45.9183890730 2117636 2072 joel:storageadmin -rwxrwxr-x 01.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/22
18744058 2006-02-14+11:43:00.0000000000 2013-04-01+18:38:45.9183890730 2211844 2164 joel:storageadmin -rwxrwxr-x 03.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/22
18744057 2006-02-14+11:42:00.0000000000 2013-04-01+18:38:45.9183890730 2316292 2264 joel:storageadmin -rwxrwxr-x 02.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/22
18743977 2008-05-18+03:39:14.0000000000 2013-04-01+18:38:45.9183890730 6356053 6208 joel:storageadmin -rwxrwxr-x clip2.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/09
18743976 2008-05-18+03:38:22.0000000000 2013-04-01+18:38:45.9183890730 6452029 6304 joel:storageadmin -rwxrwxr-x clip1.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/09
18743978 2008-05-18+03:40:14.0000000000 2013-04-01+18:38:45.9183890730 6368835 6220 joel:storageadmin -rwxrwxr-x clip3.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/09
18743979 2008-05-18+03:41:22.0000000000 2013-04-01+18:38:45.9183890730 6436005 6288 joel:storageadmin -rwxrwxr-x clip4.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/09
18744041 2009-11-19+07:54:22.0000000000 2013-04-01+18:38:45.9373890730 3334148 3260 joel:storageadmin -rwxrwxr-x lee-bignaturals-sex-video-2.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/19
18744040 2009-11-19+07:54:22.0000000000 2013-04-01+18:38:45.9373890730 3328004 3252 joel:storageadmin -rwxrwxr-x lee-bignaturals-sex-video-1.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/19
